,title,link
71,Why climate change is a threat to human rights,https://www.ted.com/talks/mary_robinson_why_climate_change_is_a_threat_to_human_rights?language=en
72,How fear drives American politics,https://www.ted.com/talks/david_rothkopf_how_fear_drives_american_politics?language=en
73,What really matters at the end of life,https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life?language=en
74,The mathematician who cracked Wall Street,https://www.ted.com/talks/jim_simons_the_mathematician_who_cracked_wall_street?language=en
75,Human trafficking is all around you. This is how it works,https://www.ted.com/talks/noy_thrupkaew_human_trafficking_is_all_around_you_this_is_how_it_works?language=en
76,The art of first impressions — in design and life,https://www.ted.com/talks/chip_kidd_the_art_of_first_impressions_in_design_and_life?language=en
77,Do we see reality as it is?,https://www.ted.com/talks/donald_hoffman_do_we_see_reality_as_it_is?language=en
78,"One woman, five characters, and a sex lesson from the future",https://www.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future?language=en
79,The surprisingly logical minds of babies,https://www.ted.com/talks/laura_schulz_the_surprisingly_logical_minds_of_babies?language=en
80,How we cut youth violence in Boston by 79 percent,https://www.ted.com/talks/jeffrey_brown_how_we_cut_youth_violence_in_boston_by_79_percent?language=en
81,Rethinking infidelity ... a talk for anyone who has ever loved,https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved?language=en
82,"My daughter, my wife, our robot, and the quest for immortality",https://www.ted.com/talks/martine_rothblatt_my_daughter_my_wife_our_robot_and_the_quest_for_immortality?language=en
83,Why city flags may be the worst-designed thing you've never noticed,https://www.ted.com/talks/roman_mars_why_city_flags_may_be_the_worst_designed_thing_you_ve_never_noticed?language=en
84,The hidden reason for poverty the world needs to address now,https://www.ted.com/talks/gary_haugen_the_hidden_reason_for_poverty_the_world_needs_to_address_now?language=en
85,How to make peace? Get angry,https://www.ted.com/talks/kailash_satyarthi_how_to_make_peace_get_angry?language=en
86,Are China and the US doomed to conflict?,https://www.ted.com/talks/kevin_rudd_are_china_and_the_us_doomed_to_conflict?language=en
