,title,link
65,The science of friction — and its surprising impact on our lives,https://www.ted.com/talks/jennifer_vail_the_science_of_friction_and_its_surprising_impact_on_our_lives?language=en
66,The health benefits of clowning around,https://www.ted.com/talks/matthew_a_wilson_the_health_benefits_of_clowning_around?language=en
67,"The Chasm | Think Like A Coder, Ep 6",https://www.ted.com/talks/alex_rosenthal_the_chasm_think_like_a_coder_ep_6?language=en
68,How virtual reality turns students into scientists,https://www.ted.com/talks/jessica_ochoa_hendrix_how_virtual_reality_turns_students_into_scientists?language=en
69,How the magic of kindness helped me survive the Holocaust,https://www.ted.com/talks/werner_reich_how_the_magic_of_kindness_helped_me_survive_the_holocaust?language=en
70,Does photographing a moment steal the experience from you?,https://www.ted.com/talks/erin_sullivan_does_photographing_a_moment_steal_the_experience_from_you?language=en
71,A personal health coach for those living with chronic diseases,https://www.ted.com/talks/priscilla_pemu_a_personal_health_coach_for_those_living_with_chronic_diseases?language=en
72,Are indoor vertical farms the future of agriculture?,https://www.ted.com/talks/stuart_oda_are_indoor_vertical_farms_the_future_of_agriculture?language=en
73,Why can't we talk about periods?,https://www.ted.com/talks/jen_gunter_why_can_t_we_talk_about_periods?language=en
74,How guest worker visas could transform the US immigration system,https://www.ted.com/talks/david_j_bier_how_guest_worker_visas_could_transform_the_us_immigration_system?language=en
75,The perks of being a pirate,https://www.ted.com/talks/tom_nash_the_perks_of_being_a_pirate_feb_2019?language=en
76,"The Artists | Think Like A Coder, Ep 5",https://www.ted.com/talks/alex_rosenthal_the_artists_think_like_a_coder_ep_5?language=en
77,The secret weapon that let dinosaurs take over the planet,https://www.ted.com/talks/emma_schachner_the_secret_weapon_that_let_dinosaurs_take_over_the_planet?language=en
78,The urgent case for antibiotic-free animals,https://www.ted.com/talks/leon_marchal_the_urgent_case_for_antibiotic_free_animals?language=en
79,"The ""opportunity gap"" in US public education — and how to close it",https://www.ted.com/talks/anindya_kundu_the_opportunity_gap_in_us_public_education_and_how_to_close_it?language=en
